h3_level8_index,total_requests,request_diversity,sewer_requests,building_count,mean_building_area,sd_building_area
88ad361801fffff,353,67,49,923,150.99986966413866,544.0140386653915
88ad361803fffff,159,51,21,376,154.61391861702128,229.24681284972345
88ad361805fffff,443,98,42,1519,119.00937728768928,129.05718161597676
88ad361807fffff,152,55,6,508,148.98006456692912,352.8834841632167
88ad361809fffff,407,86,43,1426,97.96667279102384,185.04307804439142
88ad36180bfffff,299,78,46,802,94.17480872817954,95.56339334499799
88ad36180dfffff,431,89,56,1461,97.54578261464749,95.77309983026329
88ad361811fffff,504,80,136,1192,127.82730805369127,124.24789647804043
88ad361813fffff,325,79,52,847,142.8947629279811,149.02733621398062
88ad361815fffff,518,83,70,1087,141.0580277828887,167.22133748619237
88ad361817fffff,329,85,54,781,158.69352880921895,160.08352114802253
88ad361819fffff,380,80,113,955,148.1218441884817,210.88316208930937
88ad36181bfffff,385,92,68,1125,135.37701004444446,135.9809865450222
88ad36181dfffff,614,90,125,1256,117.84977547770701,129.51110572934033
88ad361821fffff,651,106,68,1918,94.82237528675705,138.21057002984247
88ad361823fffff,246,68,21,1203,125.30226733167083,98.62680650986928
88ad361825fffff,703,107,51,1933,94.99257941024314,199.57257208267194
88ad361827fffff,475,90,32,1502,113.91191498002664,92.91682802974714
88ad361829fffff,183,61,13,657,225.5665302891933,993.8338067201064
88ad36182bfffff,298,75,24,1247,132.25317650360864,180.12699781118062
88ad36182dfffff,656,106,112,1980,93.3983753030303,89.54701208906192
88ad361831fffff,313,75,75,820,122.10008512195121,114.76247847290782
88ad361833fffff,143,47,9,414,154.41257439613528,177.65107050881787
88ad361835fffff,477,99,71,1408,112.29405319602273,118.7963664637184
88ad361837fffff,417,83,36,924,113.60949426406926,122.99488962759429
88ad361839fffff,354,68,94,731,151.7401803009576,152.5845795336063
88ad36183bfffff,311,71,61,828,135.52005338164253,141.91943383835752
88ad36183dfffff,263,76,29,970,156.8709698969072,253.08309182979468
88ad361841fffff,487,94,85,786,183.53789249363865,547.6195110386976
